eng	cn
Smirk	奸笑
Awesome	666
MyBad	打脸
Drowsy	困
LetDown	失望
Whimper	可怜
OMG	天啊
Grimace	撇嘴
Facepalm	捂脸
Surprised	惊讶
Surprise	惊讶
Scowl	发呆
Poop	便便
Joyful	可爱
Bomb	炸弹
ThumbsUp	赞
Clap	鼓掌
Sun	太阳
Trick	坏笑
Fireworks	烟花
Shocked	疑问
Lips	示爱
Lip	示爱
Party	庆祝
Waddle	跳跳
BrokenHeart	心碎
NosePick	抠鼻
Sly	阴险
Peace	胜利
GoForIt	加油
Puke	吐
Sob	流泪
Hey	嘿哈
Flushed	脸红
Strong	强壮
Shrunken	委屈
Beer	啤酒
Moon	月亮
OK	OK
Tremble	发抖
Rose	玫瑰
Panic	惊恐
LetMeSee	让我看看
Smile	微笑
Worship	合十
Lol	破涕为笑
Tongue	调皮
Speechless	擦汗
Awkward	尴尬
Doge	旺柴
Drool	色
Duh	无语
Cry	大哭
Respect	社会社会
Toasted	衰
TearingUp	快哭了
Commando	悠闲
Concerned	皱眉
Boring	翻白眼
Shake	握手
Hungry	饥饿
Blush	囧
Laugh	憨笑
Hurt	苦涩
Broken	裂开
CoolGuy	得意
Smart	机智
Dizzy	晕
Onlooker	吃瓜
Blowkiss 飞吻
Shutup	闭嘴
Sweats	汗
Sigh	叹气
Sleep	睡
Twirl	转圈
NoProb	好的
Beckon	勾引
Grin	呲牙
Wow	哇
Scream	抓狂
Sick	生病
Hug	拥抱
Happy	笑脸
Angry	发怒
Fist	拳头
Chuckle	偷笑
Hammer	敲打
Frown	难过
Smug	傲慢
Salute	抱拳
Emm	Emm
Slight	白眼
Skull	骷髅
Terror	恐惧
Heart	爱心
ThumbsDown	踩
Kiss	亲亲
Shy	害羞
Wilt	凋谢
Pig	猪头
